equation_id,seed,method,reward_function,min_error,success,best_expr,expr_tokens,expr_params,original_equation,ground_truth,n_variables,evaluation_calls,best_expr_simplified
I.10.7,1,GRAMS-UCT,RMSE,0.058714804868557395,False,(X_1+X_0*(cos(C-X_0))/C-C*C*C*X_2-C/X_0)*C/X_2*X_0,"['(', 'X_1', '+', 'X_0', '*', '(', 'cos', '(', 'C', '-', 'X_0', ')', ')', '/', 'C', '-', 'C', '*', 'C', '*', 'C', '*', 'X_2', '-', 'C', '/', 'X_0', ')', '*', 'C', '/', 'X_2', '*', 'X_0']","[np.float64(-2.2533668360007124), np.float64(4.990411061005478), np.float64(-2.7142741815909783), np.float64(-4.156601494705298), np.float64(-0.383501805673354), np.float64(-2.7946503132552816), np.float64(0.21667832903789927)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,((((C*X_0^2)*cos(C-X_0))/X_2+((C*X_0)*X_1)/X_2)+C*X_0)+C/X_2
I.10.7,2,GRAMS-UCT,RMSE,0.04301186300710842,False,C/C*X_1*C*X_0/X_2+C*X_0,"['C', '/', 'C', '*', 'X_1', '*', 'C', '*', 'X_0', '/', 'X_2', '+', 'C', '*', 'X_0']","[np.float64(3.075243035048805), np.float64(3.6224105976119514), np.float64(0.46719145389072203), np.float64(0.9417177418192307)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,((C*X_0)*X_1)/X_2+C*X_0
I.10.7,0,MC,N/A,0.05746763752300352,False,(C+((X_0-C/((X_0*C*C-X_0+C*X_1-X_2*X_2)/X_0*X_0)*X_0)+(C)+C*X_0*C)),"['(', 'C', '+', '(', '(', 'X_0', '-', 'C', '/', '(', '(', 'X_0', '*', 'C', '*', 'C', '-', 'X_0', '+', 'C', '*', 'X_1', '-', 'X_2', '*', 'X_2', ')', '/', 'X_0', '*', 'X_0', ')', '*', 'X_0', ')', '+', '(', 'C', ')', '+', 'C', '*', 'X_0', '*', 'C', ')', ')']","[np.float64(-1.6560476056004767), np.float64(0.7747540768755876), np.float64(0.7725917033470986), np.float64(0.7705758879529826), np.float64(4.252592853485222), np.float64(1.6398926333954755), np.float64(0.008506660361899142), np.float64(1.3948018181989148)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,((C*X_0+(C*X_0)/(((C*X_0+C*X_1)+-1*X_0)+-1*X_2^2))+C)+X_0
I.10.7,1,MC,N/A,0.04191316001535079,False,(X_0)+X_0/(C+X_2*C+X_2+X_1/C*C*(X_1)),"['(', 'X_0', ')', '+', 'X_0', '/', '(', 'C', '+', 'X_2', '*', 'C', '+', 'X_2', '+', 'X_1', '/', 'C', '*', 'C', '*', '(', 'X_1', ')', ')']","[np.float64(-3.5110407830579207), np.float64(5.0), np.float64(-1.46310046518824), np.float64(4.63208847464975)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,X_0+X_0/(((C*X_1^2+C*X_2)+C)+X_2)
I.10.7,2,MC,N/A,0.04842258908340066,False,(X_2)*X_0/C*X_0/X_0/C/(X_2*C-X_2*C*C/C-sqrt(X_2/C*X_0)*cos(exp(C))*X_1/X_2),"['(', 'X_2', ')', '*', 'X_0', '/', 'C', '*', 'X_0', '/', 'X_0', '/', 'C', '/', '(', 'X_2', '*', 'C', '-', 'X_2', '*', 'C', '*', 'C', '/', 'C', '-', 'sqrt', '(', 'X_2', '/', 'C', '*', 'X_0', ')', '*', 'cos', '(', 'exp', '(', 'C', ')', ')', '*', 'X_1', '/', 'X_2', ')']","[np.float64(-1.5524465505446325), np.float64(1.7301733203206249), np.float64(1.557613865020853), np.float64(-4.292171470343545), np.float64(0.9798465526912029), np.float64(-2.1713370117127), np.float64(4.583178812143123), np.float64(2.6643277164832226)]",m = m_0/sqrt(1-v^2/c^2),"['X_0', '/', 'sqrt', '(', '1', '-', 'X_1', '^2', '/', 'X_2', '^2', ')']",3,10000,((C*X_0)*X_2)/(((C*X_1)*((C*X_0)*X_2)^0.5)/X_2+C*X_2)
I.11.19,0,GRAMS-PUCT,BIC,4.904465615465,False,X_0*(X_1)+(X_5/C*(C*X_4)*sqrt(X_3-C*C*X_3)*C-(X_4/C+X_2/C)*X_4-X_4),"['X_0', '*', '(', 'X_1', ')', '+', '(', 'X_5', '/', 'C', '*', '(', 'C', '*', 'X_4', ')', '*', 'sqrt', '(', 'X_3', '-', 'C', '*', 'C', '*', 'X_3', ')', '*', 'C', '-', '(', 'X_4', '/', 'C', '+', 'X_2', '/', 'C', ')', '*', 'X_4', '-', 'X_4', ')']","[np.float64(4.256818460845597), np.float64(-2.8817964862635677), np.float64(-2.249004371223599), np.float64(2.654901898646723), np.float64(-0.41386458615831123), np.float64(4.779307188191265), np.float64(-0.8554779338622178)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,((((C*X_2)*X_4+C*X_4^2)+((C*X_4)*X_5)*(C*X_3+X_3)^0.5)+X_0*X_1)+-1*X_4
I.11.19,1,GRAMS-PUCT,BIC,4.352982630881039,False,(X_2*C+X_1+X_1*X_4-X_5*C*X_3)+X_2,"['(', 'X_2', '*', 'C', '+', 'X_1', '+', 'X_1', '*', 'X_4', '-', 'X_5', '*', 'C', '*', 'X_3', ')', '+', 'X_2']","[np.float64(1.487359863275332), np.float64(-0.8525067770387691)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,(((C*X_2+(C*X_3)*X_5)+X_1*X_4)+X_1)+X_2
I.11.19,2,GRAMS-PUCT,BIC,4.877818082780233,False,X_1+C*X_5-C*C-((C*X_4/C+C))*X_3*X_0,"['X_1', '+', 'C', '*', 'X_5', '-', 'C', '*', 'C', '-', '(', '(', 'C', '*', 'X_4', '/', 'C', '+', 'C', ')', ')', '*', 'X_3', '*', 'X_0']","[np.float64(2.957524635381118), np.float64(-3.4385166288102464), np.float64(1.7781057083027303), np.float64(0.7133047878458069), np.float64(-2.7393179880831564), np.float64(-0.21249615224370033)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,(((((C*X_0)*X_3)*X_4+(C*X_0)*X_3)+C*X_5)+C)+X_1
I.11.19,0,GRAMS-PUCT,RMSE,4.030491503941939,False,(((C*X_0+X_1+X_5+((X_2+sin(X_3/X_2)/X_0*X_1-C*C/C/X_3/X_5*C)*X_4+X_1)+C+C))),"['(', '(', '(', 'C', '*', 'X_0', '+', 'X_1', '+', 'X_5', '+', '(', '(', 'X_2', '+', 'sin', '(', 'X_3', '/', 'X_2', ')', '/', 'X_0', '*', 'X_1', '-', 'C', '*', 'C', '/', 'C', '/', 'X_3', '/', 'X_5', '*', 'C', ')', '*', 'X_4', '+', 'X_1', ')', '+', 'C', '+', 'C', ')', ')', ')']","[np.float64(3.9113510601984456), np.float64(-3.8429807728845584), np.float64(2.0986572177379132), np.float64(3.9364317945052614), np.float64(-3.660419385637705), np.float64(1.533410427308842), np.float64(-3.1291902775200096)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,(((((C*X_0+(C*X_4)/(X_3*X_5))+C)+2*X_1)+X_2*X_4)+X_5)+((X_1*X_4)*sin(X_3/X_2))/X_0
I.11.19,1,GRAMS-PUCT,RMSE,4.869160216907324,False,C-((C*X_2-X_2)*X_3+C+C*(X_1/C*(C/X_1-X_5)/X_1*X_4)-C+X_5-X_3-C),"['C', '-', '(', '(', 'C', '*', 'X_2', '-', 'X_2', ')', '*', 'X_3', '+', 'C', '+', 'C', '*', '(', 'X_1', '/', 'C', '*', '(', 'C', '/', 'X_1', '-', 'X_5', ')', '/', 'X_1', '*', 'X_4', ')', '-', 'C', '+', 'X_5', '-', 'X_3', '-', 'C', ')']","[np.float64(2.1587533681027424), np.float64(0.225348207151365), np.float64(-4.994925258253798), np.float64(2.4726515723500864), np.float64(1.8198915565158176), np.float64(3.24887181975246), np.float64(0.9115862468734491), np.float64(5.0)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,((((((C*X_2)*X_3+(C*X_4)*X_5)+C)+(C*X_4)/X_1)+X_2*X_3)+X_3)+-1*X_5
I.11.19,2,GRAMS-PUCT,RMSE,4.445997857188917,False,X_1*C+C*X_5/X_3+(C-X_1+X_3/C/C*X_2-sin(X_5)*(C*C)-X_0)/C,"['X_1', '*', 'C', '+', 'C', '*', 'X_5', '/', 'X_3', '+', '(', 'C', '-', 'X_1', '+', 'X_3', '/', 'C', '/', 'C', '*', 'X_2', '-', 'sin', '(', 'X_5', ')', '*', '(', 'C', '*', 'C', ')', '-', 'X_0', ')', '/', 'C']","[np.float64(0.014347120717562757), np.float64(-0.28548037834501633), np.float64(-0.38810730386640363), np.float64(2.3940608106976073), np.float64(-1.3389139483389727), np.float64(3.9871921595757365), np.float64(-0.3796258433537001), np.float64(-0.3342875933194378)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,((((C*X_0+(2*C)*X_1)+(C*X_2)*X_3)+C*sin(X_5))+C)+(C*X_5)/X_3
I.11.19,0,GRAMS-UCT,BIC,3.414475571519977,False,X_2+C+C*(C*sqrt(X_5*X_4)-X_3+C-X_0)+C/X_2*C*C/X_1-X_4,"['X_2', '+', 'C', '+', 'C', '*', '(', 'C', '*', 'sqrt', '(', 'X_5', '*', 'X_4', ')', '-', 'X_3', '+', 'C', '-', 'X_0', ')', '+', 'C', '/', 'X_2', '*', 'C', '*', 'C', '/', 'X_1', '-', 'X_4']","[np.float64(-2.9828092398194967), np.float64(-2.993876626973347), np.float64(-2.240346615986114), np.float64(0.8241582679664823), np.float64(4.284061405822957), np.float64(1.7462382791616837), np.float64(-3.987925247961046)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,(((((C*X_0+C*X_3)+C*(X_4*X_5)^0.5)+C)+C/(X_1*X_2))+X_2)+-1*X_4
I.11.19,1,GRAMS-UCT,BIC,4.158847792849893,False,X_2*X_5-X_1/C+X_4*X_0-C/C*X_1+C-C/(X_0),"['X_2', '*', 'X_5', '-', 'X_1', '/', 'C', '+', 'X_4', '*', 'X_0', '-', 'C', '/', 'C', '*', 'X_1', '+', 'C', '-', 'C', '/', '(', 'X_0', ')']","[np.float64(3.2775667205543724), np.float64(2.4825554482589203), np.float64(-0.7701042153655254), np.float64(0.1843408810617582), np.float64(-0.1210728564985828)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,(((C*X_1+C)+C/X_0)+X_0*X_4)+X_2*X_5
I.11.19,2,GRAMS-UCT,BIC,3.6177537819608454,False,(C/C*X_4)-X_1*C/X_0/X_3+X_5*C+X_4-X_3*(C*X_2)+C+(X_1*X_4/C+X_5/(C)),"['(', 'C', '/', 'C', '*', 'X_4', ')', '-', 'X_1', '*', 'C', '/', 'X_0', '/', 'X_3', '+', 'X_5', '*', 'C', '+', 'X_4', '-', 'X_3', '*', '(', 'C', '*', 'X_2', ')', '+', 'C', '+', '(', 'X_1', '*', 'X_4', '/', 'C', '+', 'X_5', '/', '(', 'C', ')', ')']","[np.float64(4.692976787993103), np.float64(-2.783441366460302), np.float64(5.0), np.float64(3.1767151739621546), np.float64(-0.791700370387163), np.float64(4.335102347300253), np.float64(0.8103768928546067), np.float64(-4.293739722974883)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,((((((C*X_1)*X_4+(C*X_1)/(X_0*X_3))+(C*X_2)*X_3)+C*X_4)+C*X_5)+C)+X_4
I.11.19,0,GRAMS-UCT,RMSE,4.008980128073868,False,C*X_2*X_3*C*(X_0)+X_1+X_4-C*X_5+C-C/X_5*exp(C)*X_2*C*X_1-C,"['C', '*', 'X_2', '*', 'X_3', '*', 'C', '*', '(', 'X_0', ')', '+', 'X_1', '+', 'X_4', '-', 'C', '*', 'X_5', '+', 'C', '-', 'C', '/', 'X_5', '*', 'exp', '(', 'C', ')', '*', 'X_2', '*', 'C', '*', 'X_1', '-', 'C']","[np.float64(2.8936346786846325), np.float64(0.09834952919310888), np.float64(-3.7901839154750543), np.float64(2.4118014488908366), np.float64(1.7316466966737094), np.float64(-2.4963967173613155), np.float64(-3.8980395383515165), np.float64(2.544829920399306)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,((((((C*X_0)*X_2)*X_3+((C*X_1)*X_2)/X_5)+C*X_5)+C)+X_1)+X_4
I.11.19,1,GRAMS-UCT,RMSE,3.8668289933753672,False,X_5*X_2-((X_5/C))+(C-((C)+X_3*X_0*X_5*C/X_3)*X_3)*X_1-C/(X_4)*(X_2)-C*C,"['X_5', '*', 'X_2', '-', '(', '(', 'X_5', '/', 'C', ')', ')', '+', '(', 'C', '-', '(', '(', 'C', ')', '+', 'X_3', '*', 'X_0', '*', 'X_5', '*', 'C', '/', 'X_3', ')', '*', 'X_3', ')', '*', 'X_1', '-', 'C', '/', '(', 'X_4', ')', '*', '(', 'X_2', ')', '-', 'C', '*', 'C']","[np.float64(0.5308180988185721), np.float64(0.30465737849006036), np.float64(-0.2763743986912264), np.float64(-0.06924357299086678), np.float64(3.0651668919157324), np.float64(4.359227445371304), np.float64(-4.20151783935674)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,((((((((C*X_0)*X_1)*X_3)*X_5+(C*X_1)*X_3)+C*X_1)+(C*X_2)/X_4)+C*X_5)+C)+X_2*X_5
I.11.19,2,GRAMS-UCT,RMSE,4.1408356846289065,False,X_4+sin(X_0)/X_0+X_2+X_0*X_5+X_3*X_2*C*X_1+((X_0*C*C-C)),"['X_4', '+', 'sin', '(', 'X_0', ')', '/', 'X_0', '+', 'X_2', '+', 'X_0', '*', 'X_5', '+', 'X_3', '*', 'X_2', '*', 'C', '*', 'X_1', '+', '(', '(', 'X_0', '*', 'C', '*', 'C', '-', 'C', ')', ')']","[np.float64(0.2629003176646738), np.float64(-0.24296054236170345), np.float64(-1.2124513207428775), np.float64(-3.832966255988372)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,(((((C*X_0+((C*X_1)*X_2)*X_3)+C)+X_0*X_5)+X_2)+X_4)+sin(X_0)/X_0
I.11.19,0,MC,N/A,4.06497798576698,False,C*X_0+X_1+X_5+((X_2+sin(X_3/X_2)/X_0*X_1-C*C/C/X_3/X_5*C)*X_4+X_1),"['C', '*', 'X_0', '+', 'X_1', '+', 'X_5', '+', '(', '(', 'X_2', '+', 'sin', '(', 'X_3', '/', 'X_2', ')', '/', 'X_0', '*', 'X_1', '-', 'C', '*', 'C', '/', 'C', '/', 'X_3', '/', 'X_5', '*', 'C', ')', '*', 'X_4', '+', 'X_1', ')']","[np.float64(3.512510973984093), np.float64(-2.8420481644407376), np.float64(-3.5522085908337453), np.float64(-4.883818333261601), np.float64(-3.8528594754918353)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,((((C*X_0+(C*X_4)/(X_3*X_5))+2*X_1)+X_2*X_4)+X_5)+((X_1*X_4)*sin(X_3/X_2))/X_0
I.11.19,1,MC,N/A,5.159950136901637,False,(C*X_2-X_2)*X_3+C+C*(X_1/C*(C/X_1-X_5)/X_1*X_4)-C+X_5,"['(', 'C', '*', 'X_2', '-', 'X_2', ')', '*', 'X_3', '+', 'C', '+', 'C', '*', '(', 'X_1', '/', 'C', '*', '(', 'C', '/', 'X_1', '-', 'X_5', ')', '/', 'X_1', '*', 'X_4', ')', '-', 'C', '+', 'X_5']","[np.float64(1.9662532966047481), np.float64(5.0), np.float64(-4.439319022941797), np.float64(4.378317142625678), np.float64(3.254539587923833), np.float64(-5.0)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,(((((C*X_2)*X_3+(C*X_4)*X_5)+C)+(C*X_4)/X_1)+-1*(X_2*X_3))+X_5
I.11.19,2,MC,N/A,5.1641864963076305,False,X_4/sqrt(C/X_0*X_3/(X_5*X_3*X_2))-X_3*C/(C-C-C),"['X_4', '/', 'sqrt', '(', 'C', '/', 'X_0', '*', 'X_3', '/', '(', 'X_5', '*', 'X_3', '*', 'X_2', ')', ')', '-', 'X_3', '*', 'C', '/', '(', 'C', '-', 'C', '-', 'C', ')']","[np.float64(1.1448893204384427), np.float64(-1.8725404571334965), np.float64(-1.0159329145844223), np.float64(-4.5311816851280495), np.float64(3.074123261186407)]",A = x1*y1+x2*y2+x3*y3,"['X_0', '*', 'X_3', '+', 'X_1', '*', 'X_4', '+', 'X_2', '*', 'X_5']",6,10000,C*X_3+X_4/(C/((X_0*X_2)*X_5))^0.5
I.12.1,0,GRAMS-PUCT,BIC,5.1731590969170365e-08,True,C*X_0*X_1,"['C', '*', 'X_0', '*', 'X_1']",[np.float64(0.9999999949999999)],F = mu*Nn,"['X_0', '*', 'X_1']",2,105,(C*X_0)*X_1
I.12.1,1,GRAMS-PUCT,BIC,3.791558621020853e-09,True,X_1*C*X_0/C,"['X_1', '*', 'C', '*', 'X_0', '/', 'C']","[np.float64(3.5028045176240172), np.float64(3.502804518907671)]",F = mu*Nn,"['X_0', '*', 'X_1']",2,74,(C*X_0)*X_1
I.12.1,2,GRAMS-PUCT,BIC,0.0,True,X_1*X_0,"['X_1', '*', 'X_0']",[],F = mu*Nn,"['X_0', '*', 'X_1']",2,10,X_0*X_1
I.12.1,0,GRAMS-PUCT,RMSE,0.0,True,X_0*X_1,"['X_0', '*', 'X_1']",[],F = mu*Nn,"['X_0', '*', 'X_1']",2,45,X_0*X_1
I.12.1,1,GRAMS-PUCT,RMSE,3.1195115215455524e-13,True,X_1*X_0-sin(exp(X_1-X_0/sin(C)-sin(C))/X_1/X_1),"['X_1', '*', 'X_0', '-', 'sin', '(', 'exp', '(', 'X_1', '-', 'X_0', '/', 'sin', '(', 'C', ')', '-', 'sin', '(', 'C', ')', ')', '/', 'X_1', '/', 'X_1', ')']","[np.float64(0.038029496907266314), np.float64(-4.832771783813458)]",F = mu*Nn,"['X_0', '*', 'X_1']",2,98,X_0*X_1-sin(((C*exp(X_1))*exp(C*X_0))/X_1^2)
I.12.1,2,GRAMS-PUCT,RMSE,0.0,True,X_1*X_0,"['X_1', '*', 'X_0']",[],F = mu*Nn,"['X_0', '*', 'X_1']",2,10,X_0*X_1
I.12.1,0,GRAMS-UCT,BIC,5.572773274359103e-09,True,C/C*C/C*X_1*X_0,"['C', '/', 'C', '*', 'C', '/', 'C', '*', 'X_1', '*', 'X_0']","[np.float64(3.121272365145636), np.float64(-2.5685368271938254), np.float64(-2.877880494967624), np.float64(3.497185151948759)]",F = mu*Nn,"['X_0', '*', 'X_1']",2,97,(C*X_0)*X_1
I.12.1,1,GRAMS-UCT,BIC,3.487962973903495e-08,True,C*C*X_0*X_1*C,"['C', '*', 'C', '*', 'X_0', '*', 'X_1', '*', 'C']","[np.float64(0.6863376831906483), np.float64(-1.116953910026381), np.float64(-1.3044483909658304)]",F = mu*Nn,"['X_0', '*', 'X_1']",2,217,(C*X_0)*X_1
I.12.1,2,GRAMS-UCT,BIC,3.607916993720053e-08,True,X_1*X_0*C,"['X_1', '*', 'X_0', '*', 'C']",[np.float64(0.9999999965128493)],F = mu*Nn,"['X_0', '*', 'X_1']",2,22,(C*X_0)*X_1
